Datetime,Close,High,Low,Open,Volume
2026-01-02 09:00:00+00:00,323.59,323.85,322.25,322.25,0
2026-01-02 10:00:00+00:00,323.60,324.00,323.32,323.59,0
2026-01-02 11:00:00+00:00,323.33,323.83,323.30,323.65,0
2026-01-02 12:00:00+00:00,323.30,323.68,323.06,323.33,0
2026-01-02 13:00:00+00:00,323.10,325.00,322.22,323.44,0
2026-01-02 14:00:00+00:00,323.64,323.65,323.00,323.32,0
2026-01-02 14:30:00+00:00,321.97,323.11,320.74,322.50,1154287
2026-01-02 15:30:00+00:00,323.51,324.32,321.80,321.96,732058
2026-01-02 16:30:00+00:00,323.19,323.76,321.97,323.54,414120
2026-01-02 17:30:00+00:00,322.36,323.55,322.27,323.18,720846
2026-01-02 18:30:00+00:00,324.63,324.67,322.33,322.36,564142
2026-01-02 19:30:00+00:00,324.99,325.42,324.50,324.59,960489
2026-01-02 20:30:00+00:00,325.44,325.64,324.06,324.99,984790
2026-01-02 21:00:00+00:00,325.59,326.48,305.77,325.48,0
2026-01-02 22:00:00+00:00,325.48,326.25,325.11,326.25,0
2026-01-02 23:00:00+00:00,325.48,325.60,325.48,325.60,0
2026-01-05 09:00:00+00:00,325.33,327.84,325.02,326.50,0
2026-01-05 10:00:00+00:00,324.51,325.79,324.21,325.33,0
2026-01-05 11:00:00+00:00,324.75,324.83,324.00,324.50,0
2026-01-05 12:00:00+00:00,324.18,325.39,324.18,324.72,0
2026-01-05 13:00:00+00:00,324.70,326.39,323.43,324.12,0
2026-01-05 14:00:00+00:00,324.57,324.84,323.85,324.07,0
2026-01-05 14:30:00+00:00,335.84,336.20,325.19,325.50,2333134
2026-01-05 15:30:00+00:00,335.24,336.97,334.44,335.82,1277690
2026-01-05 16:30:00+00:00,336.52,336.92,334.82,335.21,915302
2026-01-05 17:30:00+00:00,336.46,337.25,336.22,336.52,636842
2026-01-05 18:30:00+00:00,336.02,336.63,335.92,336.43,606257
2026-01-05 19:30:00+00:00,335.18,336.13,335.12,336.03,953230
2026-01-05 20:30:00+00:00,334.07,335.32,333.56,335.17,1352303
2026-01-05 21:00:00+00:00,333.97,335.00,333.87,334.13,0
2026-01-05 22:00:00+00:00,333.97,334.04,333.88,334.02,0
2026-01-05 23:00:00+00:00,333.71,334.04,333.60,333.97,0
2026-01-06 09:00:00+00:00,332.39,334.00,331.48,334.00,0
2026-01-06 10:00:00+00:00,332.48,332.54,331.95,332.39,0
2026-01-06 11:00:00+00:00,332.51,332.95,332.00,332.48,0
2026-01-06 12:00:00+00:00,332.40,332.70,331.77,332.58,0
2026-01-06 13:00:00+00:00,332.92,334.04,331.17,332.29,0
2026-01-06 14:00:00+00:00,332.00,332.91,331.63,332.56,0
2026-01-06 14:30:00+00:00,332.42,333.88,330.65,332.49,1710255
