Datetime,Close,High,Low,Open,Volume
2026-01-02 14:30:00+00:00,321.97,323.11,320.74,322.50,1154287
2026-01-02 15:30:00+00:00,323.51,324.32,321.80,321.96,732058
2026-01-02 16:30:00+00:00,323.19,323.76,321.97,323.54,414120
2026-01-02 17:30:00+00:00,322.36,323.55,322.27,323.18,720846
2026-01-02 18:30:00+00:00,324.63,324.67,322.33,322.36,564142
2026-01-02 19:30:00+00:00,324.99,325.42,324.50,324.59,960489
2026-01-02 20:30:00+00:00,325.44,325.64,324.06,324.99,984790
2026-01-05 14:30:00+00:00,335.84,336.20,325.19,325.50,2333134
2026-01-05 15:30:00+00:00,335.24,336.97,334.44,335.82,1277690
2026-01-05 16:30:00+00:00,336.52,336.92,334.82,335.21,915302
2026-01-05 17:30:00+00:00,336.46,337.25,336.22,336.52,636842
2026-01-05 18:30:00+00:00,336.02,336.63,335.92,336.43,606257
2026-01-05 19:30:00+00:00,335.18,336.13,335.12,336.03,953230
2026-01-05 20:30:00+00:00,334.07,335.32,333.56,335.17,1352303
2026-01-06 14:30:00+00:00,332.42,333.88,330.65,332.49,1710255
2026-01-06 15:30:00+00:00,333.67,333.75,331.27,332.07,777308
2026-01-06 16:30:00+00:00,334.12,334.34,333.27,333.67,482839
2026-01-06 17:30:00+00:00,334.20,335.12,333.67,334.19,530733
2026-01-06 18:30:00+00:00,335.17,335.82,334.06,334.22,507158
2026-01-06 19:30:00+00:00,335.26,335.55,335.00,335.20,522826
2026-01-06 20:30:00+00:00,334.69,335.43,334.66,335.34,740540
2026-01-07 14:30:00+00:00,325.23,332.15,324.96,331.14,2110514
2026-01-07 15:30:00+00:00,325.93,326.19,324.71,325.20,1186884
2026-01-07 16:30:00+00:00,327.89,328.31,325.37,325.93,860268
2026-01-07 17:30:00+00:00,326.66,328.11,326.24,327.93,520306
2026-01-07 18:30:00+00:00,326.88,327.19,326.15,326.66,615262
2026-01-07 19:30:00+00:00,326.38,327.68,326.23,326.92,623793
2026-01-07 20:30:00+00:00,327.02,327.45,325.85,326.40,1289779
2026-01-08 14:30:00+00:00,329.70,330.33,326.13,326.51,1686409
2026-01-08 15:30:00+00:00,330.68,331.07,329.40,329.64,662372
2026-01-08 16:30:00+00:00,330.75,331.27,330.10,330.68,564307
2026-01-08 17:30:00+00:00,330.74,331.40,330.43,330.75,440195
2026-01-08 18:30:00+00:00,330.55,330.97,330.15,330.78,473352
2026-01-08 19:30:00+00:00,330.61,330.95,329.87,330.48,564042
2026-01-08 20:30:00+00:00,329.80,330.80,329.75,330.60,718938
2026-01-09 14:30:00+00:00,331.14,331.63,328.17,329.34,2021328
2026-01-09 15:30:00+00:00,330.89,331.84,330.67,331.12,791246
2026-01-09 16:30:00+00:00,330.73,331.90,330.60,330.89,498936
2026-01-09 17:30:00+00:00,329.87,331.11,329.68,330.70,465227
2026-01-09 18:30:00+00:00,329.98,330.26,329.65,329.81,434131
2026-01-09 19:30:00+00:00,329.43,330.24,329.42,330.01,542635
2026-01-09 20:30:00+00:00,329.22,329.77,329.20,329.44,775977
2026-01-12 14:30:00+00:00,322.29,326.02,321.23,321.88,2990911
2026-01-12 15:30:00+00:00,322.58,323.18,322.25,322.33,1111622
2026-01-12 16:30:00+00:00,322.19,323.80,321.82,322.61,954942
2026-01-12 17:30:00+00:00,322.39,322.85,321.79,322.21,868718
2026-01-12 18:30:00+00:00,322.80,322.92,322.00,322.41,887445
2026-01-12 19:30:00+00:00,323.52,323.76,322.79,322.80,1311196
2026-01-12 20:30:00+00:00,324.45,324.66,323.44,323.49,1395618
2026-01-13 14:30:00+00:00,314.45,326.86,313.85,324.30,5661907
2026-01-13 15:30:00+00:00,314.70,317.07,314.30,314.42,2264657
2026-01-13 16:30:00+00:00,313.59,315.15,313.53,314.70,1877270
2026-01-13 17:30:00+00:00,312.12,313.71,311.81,313.58,1506308
2026-01-13 18:30:00+00:00,311.61,312.92,311.36,312.13,1469848
2026-01-13 19:30:00+00:00,311.20,311.87,310.92,311.63,1458123
2026-01-13 20:30:00+00:00,310.78,311.66,310.57,311.20,2168594
2026-01-14 14:30:00+00:00,308.07,311.76,307.22,308.20,4393321
2026-01-14 15:30:00+00:00,307.67,309.18,306.41,308.10,2416682
2026-01-14 16:30:00+00:00,307.36,308.29,306.12,307.63,1562235
2026-01-14 17:30:00+00:00,309.55,309.69,307.24,307.35,2317487
2026-01-14 18:30:00+00:00,308.67,310.38,308.45,309.56,1131867
2026-01-14 19:30:00+00:00,308.20,308.98,307.71,308.68,1615034
2026-01-14 20:30:00+00:00,307.98,308.50,307.05,308.20,2155681
2026-01-15 14:30:00+00:00,312.04,312.94,307.75,308.47,5616295
2026-01-15 15:30:00+00:00,310.76,312.25,309.70,312.03,1515004
