Datetime,Close,High,Low,Open,Volume
2026-01-02 14:30:00+00:00,190.59,192.93,189.73,190.18,32940503
2026-01-02 15:30:00+00:00,189.60,191.74,188.29,190.57,18539784
2026-01-02 16:30:00+00:00,189.48,190.07,189.08,189.60,9782720
2026-01-02 17:30:00+00:00,189.36,189.94,189.16,189.50,8182942
2026-01-02 18:30:00+00:00,189.21,189.70,188.26,189.37,10067165
2026-01-02 19:30:00+00:00,188.96,189.62,188.55,189.21,9185520
2026-01-02 20:30:00+00:00,188.81,189.04,188.48,188.95,7525907
2026-01-05 14:30:00+00:00,190.07,193.63,189.39,192.75,32125631
2026-01-05 15:30:00+00:00,190.19,190.89,189.26,190.07,16588778
2026-01-05 16:30:00+00:00,187.62,190.49,187.07,190.18,18571029
2026-01-05 17:30:00+00:00,187.79,188.10,186.99,187.61,13995168
2026-01-05 18:30:00+00:00,186.64,188.24,186.38,187.78,13535787
2026-01-05 19:30:00+00:00,187.47,187.57,186.15,186.65,14354077
2026-01-05 20:30:00+00:00,188.11,188.16,187.28,187.47,11088428
2026-01-06 14:30:00+00:00,191.40,192.17,188.98,190.50,34692681
2026-01-06 15:30:00+00:00,188.59,191.52,187.87,191.39,21434069
2026-01-06 16:30:00+00:00,189.04,190.03,188.40,188.59,16404130
2026-01-06 17:30:00+00:00,188.29,189.70,188.27,189.04,10313216
2026-01-06 18:30:00+00:00,187.96,188.30,187.52,188.18,11187185
2026-01-06 19:30:00+00:00,186.94,188.28,186.87,188.05,11264316
2026-01-06 20:30:00+00:00,187.25,187.65,186.82,186.94,6829507
2026-01-07 14:30:00+00:00,191.01,191.36,186.56,188.57,32512869
2026-01-07 15:30:00+00:00,189.58,191.07,188.47,191.02,20307873
2026-01-07 16:30:00+00:00,190.00,190.60,189.46,189.57,10444458
2026-01-07 17:30:00+00:00,189.62,190.21,189.58,190.01,6648717
2026-01-07 18:30:00+00:00,189.28,190.00,189.20,189.62,8125097
2026-01-07 19:30:00+00:00,188.99,189.78,188.75,189.29,8539006
2026-01-07 20:30:00+00:00,189.24,189.26,188.77,188.98,6965360
2026-01-08 14:30:00+00:00,186.10,189.38,184.66,189.00,31476671
2026-01-08 15:30:00+00:00,184.88,186.95,184.62,186.08,20521041
