Datetime,Close,High,Low,Open,Volume
2026-01-02 09:00:00+00:00,120.60,120.85,120.34,120.61,0
2026-01-02 10:00:00+00:00,120.60,120.72,120.45,120.55,0
2026-01-02 11:00:00+00:00,120.48,120.72,120.41,120.60,0
2026-01-02 12:00:00+00:00,120.31,120.48,120.31,120.40,0
2026-01-02 13:00:00+00:00,120.19,121.08,120.00,120.31,0
2026-01-02 14:00:00+00:00,120.18,120.30,120.00,120.16,0
2026-01-02 14:30:00+00:00,121.00,121.10,119.61,120.09,2020814
2026-01-02 15:30:00+00:00,121.42,121.58,120.60,121.00,1656352
2026-01-02 16:30:00+00:00,122.10,122.15,121.35,121.43,1557358
2026-01-02 17:30:00+00:00,122.15,122.24,121.84,122.09,1151154
2026-01-02 18:30:00+00:00,122.42,122.54,122.12,122.15,1398166
2026-01-02 19:30:00+00:00,122.52,122.68,122.32,122.43,1389896
2026-01-02 20:30:00+00:00,122.64,122.65,122.17,122.52,2689902
2026-01-02 21:00:00+00:00,122.78,122.91,116.34,122.64,0
2026-01-02 22:00:00+00:00,122.74,122.91,116.34,122.80,0
2026-01-02 23:00:00+00:00,122.63,123.94,122.22,122.22,0
2026-01-05 09:00:00+00:00,126.49,128.28,126.06,127.10,0
2026-01-05 10:00:00+00:00,127.61,128.00,126.46,126.61,0
2026-01-05 11:00:00+00:00,128.06,128.37,127.33,127.61,0
2026-01-05 12:00:00+00:00,126.58,128.58,126.47,128.01,0
2026-01-05 13:00:00+00:00,126.10,128.57,122.65,126.57,0
2026-01-05 14:00:00+00:00,126.00,126.70,125.65,126.10,0
2026-01-05 14:30:00+00:00,124.04,125.91,122.39,125.21,8744265
2026-01-05 15:30:00+00:00,125.35,125.50,123.70,124.04,4525037
2026-01-05 16:30:00+00:00,125.10,125.79,124.82,125.36,2618022
2026-01-05 17:30:00+00:00,125.54,125.69,125.05,125.11,1997368
2026-01-05 18:30:00+00:00,125.79,125.81,125.29,125.54,1925809
2026-01-05 19:30:00+00:00,125.79,125.93,125.20,125.79,2365381
2026-01-05 20:30:00+00:00,125.39,125.81,125.08,125.80,3885287
2026-01-05 21:00:00+00:00,125.55,125.60,118.65,125.45,0
2026-01-05 22:00:00+00:00,125.70,128.45,117.96,125.55,0
2026-01-05 23:00:00+00:00,125.71,125.79,125.56,125.62,0
2026-01-06 09:00:00+00:00,125.87,125.93,125.62,125.70,0
2026-01-06 10:00:00+00:00,125.95,125.98,125.76,125.87,0
2026-01-06 11:00:00+00:00,125.97,125.99,125.88,125.90,0
2026-01-06 12:00:00+00:00,125.72,126.11,125.48,125.95,0
2026-01-06 13:00:00+00:00,125.64,126.37,125.20,125.75,0
2026-01-06 14:00:00+00:00,125.48,125.76,125.36,125.76,0
2026-01-06 14:30:00+00:00,124.10,125.80,123.68,125.47,3990000
2026-01-06 15:30:00+00:00,123.68,124.22,123.58,124.04,2182489
2026-01-06 16:30:00+00:00,123.31,123.79,123.14,123.75,1684825
2026-01-06 17:30:00+00:00,122.54,123.20,122.49,123.18,1668216
2026-01-06 18:30:00+00:00,122.39,122.61,122.10,122.56,2484061
2026-01-06 19:30:00+00:00,121.67,122.40,121.53,122.40,2290861
2026-01-06 20:30:00+00:00,121.12,121.93,121.00,121.74,4226465
2026-01-06 21:00:00+00:00,121.29,122.41,121.00,121.06,0
2026-01-06 22:00:00+00:00,121.33,121.38,121.24,121.30,0
2026-01-06 23:00:00+00:00,121.39,121.50,121.25,121.32,0
2026-01-07 09:00:00+00:00,121.37,121.50,121.06,121.33,0
2026-01-07 10:00:00+00:00,121.30,121.47,121.16,121.37,0
2026-01-07 11:00:00+00:00,121.39,121.48,121.11,121.22,0
2026-01-07 12:00:00+00:00,121.41,121.49,121.26,121.38,0
2026-01-07 13:00:00+00:00,121.10,121.80,120.89,121.41,0
2026-01-07 14:00:00+00:00,121.64,121.80,121.10,121.10,0
2026-01-07 14:30:00+00:00,119.52,120.12,118.67,119.80,4515755
2026-01-07 15:30:00+00:00,119.90,119.93,119.14,119.53,2264963
2026-01-07 16:30:00+00:00,118.75,120.01,118.74,119.90,1728185
2026-01-07 17:30:00+00:00,118.31,118.85,118.27,118.75,2143473
2026-01-07 18:30:00+00:00,119.21,119.30,118.28,118.31,2146583
2026-01-07 19:30:00+00:00,118.65,119.61,118.55,119.20,1783435
2026-01-07 20:30:00+00:00,118.50,118.75,118.44,118.64,2950424
2026-01-07 21:00:00+00:00,118.55,119.04,117.91,118.58,0
2026-01-07 22:00:00+00:00,118.72,118.75,118.49,118.62,0
2026-01-07 23:00:00+00:00,118.65,118.74,118.65,118.72,0
2026-01-08 09:00:00+00:00,118.65,118.75,118.56,118.63,0
2026-01-08 10:00:00+00:00,118.66,118.67,118.53,118.65,0
2026-01-08 11:00:00+00:00,118.83,118.85,118.56,118.56,0
2026-01-08 12:00:00+00:00,118.80,118.98,118.67,118.83,0
2026-01-08 13:00:00+00:00,119.00,119.15,118.45,118.81,0
2026-01-08 14:00:00+00:00,118.80,119.10,118.73,118.87,0
2026-01-08 14:30:00+00:00,120.05,120.53,118.65,118.98,3107149
2026-01-08 15:30:00+00:00,120.88,120.90,120.00,120.04,1642680
2026-01-08 16:30:00+00:00,121.57,121.58,120.81,120.89,1495946
2026-01-08 17:30:00+00:00,122.38,122.50,121.58,121.58,1545007
2026-01-08 18:30:00+00:00,123.48,123.48,122.38,122.38,2189511
2026-01-08 19:30:00+00:00,123.14,123.62,122.96,123.48,3337666
2026-01-08 20:30:00+00:00,122.91,123.39,122.55,123.14,3475955
2026-01-08 21:00:00+00:00,122.95,123.50,122.17,122.95,0
2026-01-08 22:00:00+00:00,123.01,123.20,122.90,123.00,0
2026-01-08 23:00:00+00:00,123.22,123.22,122.95,123.01,0
2026-01-09 09:00:00+00:00,122.75,123.13,122.72,122.90,0
