Datetime,Close,High,Low,Open,Volume
2026-01-02 14:30:00+00:00,121.00,121.10,119.61,120.09,2020814
2026-01-02 15:30:00+00:00,121.42,121.58,120.60,121.00,1656352
2026-01-02 16:30:00+00:00,122.10,122.15,121.35,121.43,1557358
2026-01-02 17:30:00+00:00,122.15,122.24,121.84,122.09,1151154
2026-01-02 18:30:00+00:00,122.42,122.54,122.12,122.15,1398166
2026-01-02 19:30:00+00:00,122.52,122.68,122.32,122.43,1389896
2026-01-02 20:30:00+00:00,122.64,122.65,122.17,122.52,2689902
2026-01-05 14:30:00+00:00,124.04,125.91,122.39,125.21,8744265
2026-01-05 15:30:00+00:00,125.35,125.50,123.70,124.04,4525037
2026-01-05 16:30:00+00:00,125.10,125.79,124.82,125.36,2618022
2026-01-05 17:30:00+00:00,125.54,125.69,125.05,125.11,1997368
2026-01-05 18:30:00+00:00,125.79,125.81,125.29,125.54,1925809
2026-01-05 19:30:00+00:00,125.79,125.93,125.20,125.79,2365381
2026-01-05 20:30:00+00:00,125.39,125.81,125.08,125.80,3885287
2026-01-06 14:30:00+00:00,124.10,125.80,123.68,125.47,3990000
2026-01-06 15:30:00+00:00,123.68,124.22,123.58,124.04,2182489
2026-01-06 16:30:00+00:00,123.31,123.79,123.14,123.75,1684825
2026-01-06 17:30:00+00:00,122.54,123.20,122.49,123.18,1668216
2026-01-06 18:30:00+00:00,122.39,122.61,122.10,122.56,2484061
2026-01-06 19:30:00+00:00,121.67,122.40,121.53,122.40,2290861
2026-01-06 20:30:00+00:00,121.12,121.93,121.00,121.74,4226465
2026-01-07 14:30:00+00:00,119.52,120.12,118.67,119.80,4515755
2026-01-07 15:30:00+00:00,119.90,119.93,119.14,119.53,2264963
2026-01-07 16:30:00+00:00,118.75,120.01,118.74,119.90,1728185
2026-01-07 17:30:00+00:00,118.31,118.85,118.27,118.75,2143473
2026-01-07 18:30:00+00:00,119.21,119.30,118.28,118.31,2146583
2026-01-07 19:30:00+00:00,118.65,119.61,118.55,119.20,1783435
2026-01-07 20:30:00+00:00,118.50,118.75,118.44,118.64,2950424
2026-01-08 14:30:00+00:00,120.05,120.53,118.65,118.98,3107149
2026-01-08 15:30:00+00:00,120.88,120.90,120.00,120.04,1642680
2026-01-08 16:30:00+00:00,121.57,121.58,120.81,120.89,1495946
2026-01-08 17:30:00+00:00,122.38,122.50,121.58,121.58,1545007
2026-01-08 18:30:00+00:00,123.48,123.48,122.38,122.38,2189511
2026-01-08 19:30:00+00:00,123.14,123.62,122.96,123.48,3337666
2026-01-08 20:30:00+00:00,122.91,123.39,122.55,123.14,3475955
2026-01-09 14:30:00+00:00,123.67,123.99,123.10,123.23,2984682
2026-01-09 15:30:00+00:00,123.48,123.79,123.42,123.67,1659306
2026-01-09 16:30:00+00:00,124.14,124.35,123.46,123.49,1673028
2026-01-09 17:30:00+00:00,124.15,124.32,123.78,124.13,1017091
2026-01-09 18:30:00+00:00,124.39,124.46,124.08,124.15,1520951
2026-01-09 19:30:00+00:00,124.67,124.86,124.06,124.40,1809009
2026-01-09 20:30:00+00:00,124.61,124.76,124.36,124.67,2915806
2026-01-12 14:30:00+00:00,123.38,124.50,122.56,124.46,2711607
2026-01-12 15:30:00+00:00,123.60,123.83,123.34,123.37,1340298
2026-01-12 16:30:00+00:00,123.64,123.89,123.46,123.59,1057540
2026-01-12 17:30:00+00:00,123.18,123.69,123.11,123.64,1064159
2026-01-12 18:30:00+00:00,122.94,123.38,122.93,123.18,1077291
2026-01-12 19:30:00+00:00,123.42,123.48,122.90,122.92,1224370
2026-01-12 20:30:00+00:00,123.98,124.15,123.40,123.42,2567338
2026-01-13 14:30:00+00:00,125.98,126.41,124.81,125.00,3228688
2026-01-13 15:30:00+00:00,126.31,126.99,125.95,125.97,2639970
2026-01-13 16:30:00+00:00,126.14,126.39,125.42,126.32,1681350
2026-01-13 17:30:00+00:00,126.50,126.85,125.98,126.14,1632556
2026-01-13 18:30:00+00:00,126.19,127.14,126.00,126.50,2528689
2026-01-13 19:30:00+00:00,126.16,126.54,126.14,126.19,1398963
2026-01-13 20:30:00+00:00,126.49,126.58,125.87,126.16,2866441
2026-01-14 14:30:00+00:00,128.84,129.36,127.13,127.35,4191402
2026-01-14 15:30:00+00:00,129.76,129.79,128.35,128.86,2499754
2026-01-14 16:30:00+00:00,129.79,129.96,129.17,129.76,2468066
2026-01-14 17:30:00+00:00,130.57,130.68,129.53,129.80,2089221
2026-01-14 18:30:00+00:00,131.43,131.46,130.38,130.57,2816574
2026-01-14 19:30:00+00:00,130.38,131.72,129.73,131.44,5229445
2026-01-14 20:30:00+00:00,130.25,130.71,129.72,130.39,4561371
2026-01-15 14:30:00+00:00,129.14,130.16,128.30,129.13,3662321
2026-01-15 15:30:00+00:00,130.12,130.13,129.07,129.14,1644482
2026-01-15 16:30:00+00:00,129.55,130.20,129.43,130.13,1456675
2026-01-15 17:30:00+00:00,129.67,130.02,129.46,129.55,1289980
2026-01-15 18:30:00+00:00,129.59,130.18,129.59,129.68,966186
2026-01-15 19:30:00+00:00,128.98,129.58,128.89,129.58,1520431
2026-01-15 20:30:00+00:00,129.14,129.20,128.85,128.97,3122599
2026-01-16 14:30:00+00:00,129.63,130.07,128.87,128.91,3855620
2026-01-16 15:30:00+00:00,129.90,129.97,129.35,129.62,1390887
2026-01-16 16:30:00+00:00,129.93,129.99,129.50,129.89,1868221
2026-01-16 17:30:00+00:00,129.91,130.05,129.55,129.93,979878
2026-01-16 18:30:00+00:00,129.73,130.08,129.72,129.92,837296
2026-01-16 19:30:00+00:00,129.81,130.13,129.68,129.72,1329412
2026-01-16 20:30:00+00:00,129.88,130.16,129.73,129.80,2452286
2026-01-20 14:30:00+00:00,131.46,131.94,130.15,131.51,3740468
2026-01-20 15:30:00+00:00,131.31,131.52,130.87,131.46,1532495
2026-01-20 16:30:00+00:00,130.93,131.36,130.76,131.32,1246579
